Date,Close,High,Low,Open,Volume,ema20
2025-04-02 11:55:00-04:00,562.28,562.67,561.7,561.84,368779.0,561.7421213337353
2025-04-02 12:00:00-04:00,562.29,562.76,562.08,562.31,153251.0,561.7943002543319
2025-04-02 12:05:00-04:00,562.67,562.75,562.19,562.32,195690.0,561.8777002301098
2025-04-02 12:10:00-04:00,563.54,563.6,562.54,562.7,276507.0,562.0360144939089
2025-04-02 12:15:00-04:00,563.69,563.88,563.34,563.54,369271.0,562.1935369230604
2025-04-02 12:20:00-04:00,563.81,563.98,563.42,563.66,239237.0,562.3474857875308
2025-04-02 12:25:00-04:00,564.28,564.28,563.42,563.81,347778.0,562.5315347601469
2025-04-02 12:30:00-04:00,564.42,564.56,564.01,564.29,260489.0,562.7113885925138
2025-04-02 12:35:00-04:00,563.99,564.44,563.57,564.4,320490.0,562.8331611075125
2025-04-02 12:40:00-04:00,564.5,564.53,563.68,564.03,191848.0,562.9919076687019
2025-04-02 12:45:00-04:00,565.66,565.74,564.21,564.51,562410.0,563.246011700254
2025-04-02 12:50:00-04:00,565.51,566.06,565.18,565.65,829492.0,563.4616296335631
2025-04-02 12:55:00-04:00,565.68,565.85,565.14,565.51,367476.0,563.6729030017952
2025-04-02 13:00:00-04:00,566.14,566.23,565.62,565.69,278734.0,563.907864620672
2025-04-02 13:05:00-04:00,566.43,566.69,566.04,566.14,534577.0,564.1480679901317
2025-04-02 13:10:00-04:00,566.92,567.42,566.4,566.41,606967.0,564.4120615148811
2025-04-02 13:15:00-04:00,566.72,566.95,566.49,566.93,361186.0,564.6318651801305
2025-04-02 13:20:00-04:00,566.54,566.75,565.91,566.73,569509.0,564.8135923058323
2025-04-02 13:25:00-04:00,566.08,566.59,566.03,566.52,230581.0,564.9342025624197
2025-04-02 13:30:00-04:00,565.5,566.1,565.22,566.03,477778.0,564.9880880326655
2025-04-02 13:35:00-04:00,565.27,565.52,564.78,565.5,323779.0,565.0149367914593
2025-04-02 13:40:00-04:00,564.57,565.52,564.17,565.31,555799.0,564.9725618589393
2025-04-02 13:45:00-04:00,563.89,564.53,563.54,564.51,349885.0,564.8694607295165
2025-04-02 13:50:00-04:00,563.84,563.93,563.21,563.88,532754.0,564.7714168505149
2025-04-02 13:55:00-04:00,564.1,564.3,563.69,563.81,413639.0,564.7074723885611
2025-04-02 14:00:00-04:00,563.48,564.45,563.44,564.08,419256.0,564.5905702563172
2025-04-02 14:05:00-04:00,562.88,563.48,562.61,563.47,395122.0,564.4276588033346
2025-04-02 14:10:00-04:00,563.02,563.25,562.49,562.88,250509.0,564.2935960601599
2025-04-02 14:15:00-04:00,562.55,563.21,562.34,563.0,404684.0,564.1275392925256
2025-04-02 14:20:00-04:00,562.1,562.88,561.93,562.55,316111.0,563.9344403122851
2025-04-02 14:25:00-04:00,561.1,562.53,561.1,562.07,403832.0,563.6644936158771
2025-04-02 14:30:00-04:00,562.08,562.1,560.96,561.11,495576.0,563.513589461984
2025-04-02 14:35:00-04:00,563.27,563.3,561.87,562.09,535392.0,563.4903904656046
2025-04-02 14:40:00-04:00,563.35,563.79,563.07,563.3,568943.0,563.4770199450709
2025-04-02 14:45:00-04:00,563.32,563.51,562.84,563.36,203055.0,563.462065664588
2025-04-02 14:50:00-04:00,562.78,563.28,562.47,563.25,250034.0,563.3971070298653
2025-04-02 14:55:00-04:00,561.11,562.77,561.1,562.77,344125.0,563.1792873127353
2025-04-02 15:00:00-04:00,562.78,562.84,561.13,561.15,379885.0,563.1412599496176
2025-04-02 15:05:00-04:00,562.62,562.95,562.29,562.76,276850.0,563.0916161448921
2025-04-02 15:10:00-04:00,562.09,562.75,562.08,562.6,253110.0,562.9962241310928
2025-04-02 15:15:00-04:00,562.06,562.56,561.66,562.12,319373.0,562.9070599281316
2025-04-02 15:20:00-04:00,562.74,562.95,561.98,562.02,281531.0,562.8911494587858
2025-04-02 15:25:00-04:00,563.2,563.38,562.15,562.73,335964.0,562.9205637960442
2025-04-02 15:30:00-04:00,564.14,564.39,562.65,563.18,832182.0,563.0367005773734
2025-04-02 15:35:00-04:00,564.08,564.54,563.73,564.13,457666.0,563.1360624271473
2025-04-02 15:40:00-04:00,564.71,564.9,563.93,564.06,556242.0,563.2859612436094
2025-04-02 15:45:00-04:00,565.32,565.52,564.71,564.71,628546.0,563.4796792204086
2025-04-02 15:50:00-04:00,565.08,565.58,564.82,565.3,891463.0,563.6320907232268
2025-04-02 15:55:00-04:00,564.64,565.66,564.62,565.08,3627511.0,563.7280820829195
2025-04-03 09:30:00-04:00,547.51,547.97,544.89,545.11,4029184.0,562.1835028369272
2025-04-03 09:35:00-04:00,547.71,547.86,546.23,547.52,2121117.0,560.8050739953151
2025-04-03 09:40:00-04:00,546.32,547.74,545.78,547.71,1559451.0,559.4255431386184
2025-04-03 09:45:00-04:00,545.27,546.37,544.97,546.32,1355380.0,558.0773961730357
2025-04-03 09:50:00-04:00,545.52,547.16,545.21,545.26,1245652.0,556.8814536803657
2025-04-03 09:55:00-04:00,544.92,546.07,544.18,545.54,1249198.0,555.742267615569
2025-04-03 10:00:00-04:00,543.23,545.22,543.02,544.86,1340299.0,554.5506230807529
2025-04-03 10:05:00-04:00,542.98,544.01,542.78,543.25,1551464.0,553.448658977824
2025-04-03 10:10:00-04:00,542.69,543.15,542.0,542.97,1084840.0,552.4240247894598
2025-04-03 10:15:00-04:00,542.19,543.46,542.14,542.68,1366067.0,551.4493557618922
2025-04-03 10:20:00-04:00,541.88,542.52,541.57,542.19,1350883.0,550.5379885464739
2025-04-03 10:25:00-04:00,543.07,543.74,541.81,541.89,1135659.0,549.8267515420479
2025-04-03 10:30:00-04:00,542.66,543.9,542.57,543.04,991036.0,549.1442037761385
2025-04-03 10:35:00-04:00,542.24,543.01,542.11,542.67,692690.0,548.4866605593634
2025-04-03 10:40:00-04:00,542.19,542.86,541.59,542.24,866426.0,547.8869786013288
